#TYPE Selected.System.ServiceProcess.ServiceController
"Name";"DisplayName"
"WAS";"Service d'activation des processus Windows"
"WavesAudioService";"Waves Audio Universal Services"
"WavesSysSvc";"Waves Audio Services"
"Wcmsvc";"Gestionnaire des connexions Windows"
"WdNisSvc";"Service d’inspection réseau de l’antivirus Microsoft Defender"
"WebClient";"WebClient"
"webthreatdefsvc";"Service Web Threat Defense"
"webthreatdefusersvc_3517e377";"Service d’utilisateur Web Threat Defense_3517e377"
"whesvc";"Intégrité de Windows et expériences optimisées"
"WinDefend";"Service antivirus Microsoft Defender"
"WinHttpAutoProxySvc";"Service de découverte automatique de Proxy Web pour les services HTTP Windows"
"Winmgmt";"Infrastructure de gestion Windows"
"WlanSvc";"Service de configuration automatique WLAN"
"wlidsvc";"Assistant Connexion avec un compte Microsoft"
"WMIRegistrationService";"Intel(R) Management Engine WMI Provider Registration"
"WpnService";"Service du système de notifications Push Windows"
"WpnUserService_3517e377";"Service utilisateur de notifications Push Windows_3517e377"
"WSAIFabricSvc";"WSAIFabricSvc"
"wscsvc";"Centre de sécurité"
"WSearch";"Windows Search"
